Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
There should be no special character in the Phone field,RE-47,10054,Bug,To Do,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:36 PM,09/Sep/21 3:58 PM,09/Sep/21 3:58 PM,,,0,"The Phone field should not accept Special character



Step to reproduce

Go to the Application 

Go to Users 

Go to Your Profile

Go to the Contact Info

Verify Phone



Expected Result

Phone field should not accept special character



Actual Result

Phone field is accepting special character

!image-20210909-100732.png|width=1518,height=853!",,Simran,6135e05414e8340071d05a66,,,,,,,,,RE-44,,RE-44,,,,,,,,,,,,,,,,,,,,,,,,,09/Sep/21 3:38 PM;ug:48236ea4-5a50-460a-a50b-0842b46e1a68;image-20210909-100732.png;https://corporateola79.atlassian.net/secure/attachment/10009/image-20210909-100732.png,,,,,,{},,,,,,,0|i000b3:,,RE Sprint 1,,,,,,,,To Do
CLONE - Verify that Admin cannot enter special characters in the Phone field under Contact Info section,RE-46,10053,Test,In Progress,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:35 PM,09/Sep/21 3:46 PM,09/Sep/21 3:46 PM,,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000b7:,,RE Sprint 1,,,,,,,,In Progress
There should be no alphabets in the Phone field,RE-45,10052,Bug,To Do,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:30 PM,09/Sep/21 3:58 PM,09/Sep/21 3:57 PM,,,0,"The Phone field should not accept Alphabets



Step to reproduce

Go to the Application 

Go to Users 

Go to Your Profile

Go to the Contact Info

Verify Phone



Expected Result

Phone field should not accept alphabets



Actual Result

Phone field is accepting alphabets

!image-20210909-100232.png|width=1518,height=853!",,Simran,6135e05414e8340071d05a66,,,,,,,,,RE-43,,RE-43,,,,,,,,,,,,,,,,,,,,,,,,,09/Sep/21 3:33 PM;ug:48236ea4-5a50-460a-a50b-0842b46e1a68;image-20210909-100232.png;https://corporateola79.atlassian.net/secure/attachment/10008/image-20210909-100232.png,,,,,,{},,,,,,,0|i000az:,,RE Sprint 1,,,,,,,,To Do
Verify that Admin cannot enter special characters in the Phone field under Contact Info section,RE-44,10051,Test,Blocked,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:25 PM,09/Sep/21 3:46 PM,09/Sep/21 3:33 PM,,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ar:,,RE Sprint 1,,,,,,,,In Progress
Verify that Admin cannot enter alphabets in the Phone field under Contact Info section,RE-43,10050,Test,Blocked,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:22 PM,09/Sep/21 3:46 PM,09/Sep/21 3:23 PM,,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000aj:,,RE Sprint 1,,,,,,,,In Progress
Verify if Admin can enter Numeric values in the Phone field under Contact Info section,RE-42,10049,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:16 PM,09/Sep/21 3:46 PM,09/Sep/21 3:17 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ab:,,RE Sprint 1,,,,,,,,Done
Verify if Admin is able to see the updated email address in the Email field under Contact Info section,RE-41,10048,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:13 PM,09/Sep/21 3:46 PM,09/Sep/21 3:13 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000a3:,,RE Sprint 1,,,,,,,,Done
Verify if Admin is able to Cancel the verification pop-up in the Email field under Contact Info section,RE-40,10047,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:07 PM,09/Sep/21 3:46 PM,09/Sep/21 3:11 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009v:,,RE Sprint 1,,,,,,,,Done
Verify if Admin see the verification message to verify the new or changed email address in the Email field under Contact Info section,RE-39,10046,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 3:01 PM,09/Sep/21 3:57 PM,09/Sep/21 3:57 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009n:,,RE Sprint 1,,,,,,,,Done
Verify if Admin is entering correct email address in the Email field under Contact Info section,RE-38,10045,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 2:56 PM,09/Sep/21 3:57 PM,09/Sep/21 3:57 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0009f:,,RE Sprint 1,,,,,,,,Done
Verify if Admin is able to enter email address in the Contact Info field,RE-37,10044,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 2:46 PM,09/Sep/21 3:57 PM,09/Sep/21 3:56 PM,09/Sep/21 3:46 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00097:,,RE Sprint 1,,,,,,,,Done
As an Admin I want to check if the Contact Info field is present on the Users[your profile] so that I can add emails and social links in my account,RE-36,10043,Story,In Progress,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 2:21 PM,09/Sep/21 3:46 PM,09/Sep/21 3:50 PM,,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,,RE-1,RE-37,RE-38,RE-39,RE-40,RE-41,RE-42,RE-43,RE-44,RE-46,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008z:,,RE Sprint 1,,,,,,,,In Progress
Verify that Admin can select both Firstname and Lastname as Display name publicly in the Name section,RE-35,10042,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 2:02 PM,09/Sep/21 2:38 PM,09/Sep/21 2:02 PM,09/Sep/21 2:38 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008r:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can select Lastname as Display name publicly in the Name section,RE-34,10041,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 2:01 PM,09/Sep/21 2:38 PM,09/Sep/21 2:01 PM,09/Sep/21 2:38 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008j:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can select Firstname as Display name publicly in the Name section,RE-33,10040,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 1:58 PM,09/Sep/21 2:37 PM,09/Sep/21 1:59 PM,09/Sep/21 2:37 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008b:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can select Nickname as Display name publicly in the Name section,RE-32,10039,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 1:56 PM,09/Sep/21 2:37 PM,09/Sep/21 1:57 PM,09/Sep/21 2:37 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00083:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can select Username as Display name publicly in the Name section,RE-31,10038,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 1:52 PM,09/Sep/21 2:37 PM,09/Sep/21 1:53 PM,09/Sep/21 2:37 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0007v:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can see Display name publicly in the Name section,RE-30,10037,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 1:01 PM,09/Sep/21 2:37 PM,09/Sep/21 1:53 PM,09/Sep/21 2:37 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0007n:,,RE Sprint 1,,,,,,,,Done
Verify that Admin can see Display name publicly field in the Name section,RE-29,10036,Test,Done,RE,Real Estate,software,Simran,6135e05414e8340071d05a66,,Medium,Done,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,Simran,6135e05414e8340071d05a66,09/Sep/21 12:53 PM,09/Sep/21 2:37 PM,09/Sep/21 1:51 PM,09/Sep/21 2:37 PM,,0,,,Simran,6135e05414e8340071d05a66,,,,,,,,,,RE-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0007f:,,RE Sprint 1,,,,,,,,Done
